appointmentID,SSN,nurseID,physicianID,start,end,examination_room,appointment_cost
69,100000055,109,2,12/11/2019 12:00,12/11/2019 13:30,B,550
70,100000074,119,23,12/11/2019 12:00,12/11/2019 13:30,L,550
71,100000102,108,25,12/11/2019 12:00,12/11/2019 13:30,C,550
72,100000095,111,7,12/11/2019 12:00,12/11/2019 13:30,A,550
73,100000078,105,4,12/11/2019 12:00,12/11/2019 13:30,K,550
74,100000022,119,10,12/11/2019 12:00,12/11/2019 13:30,I,550
75,100000044,111,31,12/11/2019 12:00,12/11/2019 13:30,D,550
76,100000076,108,7,12/11/2019 12:00,12/11/2019 13:30,E,550
77,100000049,110,12,12/14/2019 15:00,12/14/2019 15:30,B,550
78,100000099,111,33,12/14/2019 15:00,12/14/2019 15:30,I,550
79,100000096,115,3,12/14/2019 15:00,12/14/2019 15:30,F,550
80,100000047,109,32,12/14/2019 15:00,12/14/2019 15:30,L,550
81,100000003,120,27,12/14/2019 15:00,12/14/2019 15:30,D,900
82,100000034,115,10,12/14/2019 15:00,12/14/2019 15:30,E,900
83,100000010,120,25,12/14/2019 15:00,12/14/2019 15:30,A,900
84,100000025,113,21,12/14/2019 15:00,12/14/2019 15:30,K,900
85,100000080,104,21,12/14/2019 15:00,12/14/2019 15:30,G,900
86,100000004,110,29,1/5/2019 15:00,1/5/2019 17:00,M,900
87,100000077,115,5,1/5/2019 15:00,1/5/2019 17:00,F,900
88,100000012,110,15,1/5/2019 15:00,1/5/2019 17:00,J,900
89,100000062,110,27,1/5/2019 15:00,1/5/2019 17:00,B,900
90,100000103,113,29,1/5/2019 15:00,1/5/2019 17:00,D,900
91,100000020,103,26,1/5/2019 15:00,1/5/2019 17:00,C,430
92,100000033,110,21,1/5/2019 15:00,1/5/2019 17:00,E,430
93,100000003,101,2,1/5/2019 15:00,1/5/2019 17:00,A,430
94,100000061,110,4,1/5/2019 15:00,1/5/2019 17:00,I,430
95,100000080,114,10,1/5/2019 15:00,1/5/2019 17:00,H,430
96,100000023,108,18,1/10/2019 15:00,1/10/2019 17:00,F,430
97,100000053,111,18,1/10/2019 15:00,1/10/2019 17:00,J,430
98,100000011,116,19,1/10/2019 15:00,1/10/2019 17:00,A,430
99,100000091,113,31,1/10/2019 15:00,1/10/2019 17:00,G,430
100,100000095,110,6,1/10/2019 15:00,1/10/2019 17:00,N,430
101,100000101,101,30,1/10/2019 15:00,1/10/2019 17:00,O,430
102,100000044,112,3,1/10/2019 15:00,1/10/2019 17:00,M,430
103,100000021,103,32,1/10/2019 15:00,1/10/2019 17:00,B,430
104,100000024,106,7,1/10/2019 15:00,1/10/2019 17:00,H,430
105,100000018,106,6,1/10/2019 15:00,1/10/2019 17:00,D,430
106,100000037,118,18,1/10/2019 15:00,1/10/2019 17:00,I,430
107,100000007,112,13,1/10/2019 15:00,1/10/2019 17:00,E,430
108,100000103,116,30,1/15/2019 10:00,1/15/2019 12:00,I,430
109,100000063,115,4,1/15/2019 10:00,1/15/2019 12:00,G,430
110,100000027,103,2,1/15/2019 10:00,1/15/2019 12:00,K,430
111,100000079,113,4,1/15/2019 10:00,1/15/2019 12:00,H,430
112,100000065,110,2,1/25/2019 10:00,1/25/2019 12:00,P,430
113,100000070,109,32,1/25/2019 10:00,1/25/2019 12:00,D,430
114,100000016,102,14,1/25/2019 10:00,1/25/2019 12:00,G,430
115,100000039,101,23,1/25/2019 10:00,1/25/2019 12:00,O,430
116,100000013,102,33,1/25/2019 10:00,1/25/2019 12:00,A,430
117,100000094,110,7,1/25/2019 10:00,1/25/2019 12:00,B,430
