"SSN";"Name";"Address";"Phone";"InsuranceID";"PCP"
"100000059";"Glenna Contreras";"464-2592 Sodales St.";"183-8958";"68421934";"29"
"100000060";"Nasim Carroll";"1955 Mauris. Road";"822-6176";"68421935";"5"
"100000061";"Mariko Kirkland";"P.O. Box 835, 836 Quisque Av.";"065-1857";"68421936";"16"
"100000062";"Timon Holmes";"P.O. Box 889, 3566 Eget St.";"520-8106";"68421937";"22"
"100000063";"Palmer Quinn";"354-8004 Mauris Street";"578-9933";"68421938";"32"
"100000064";"Alma Wiggins";"P.O. Box 585, 2796 Eu Ave";"015-0460";"68421939";"23"
"100000065";"Quincy Smith";"910-7007 Gravida Av.";"055-1805";"68421940";"5"
"100000066";"Azalia Alston";"P.O. Box 747, 2039 Tempor, St.";"317-0137";"68421941";"32"
"100000067";"Lareina Ratliff";"P.O. Box 314, 5242 Sem Road";"007-2548";"68421942";"20"
"100000068";"Adena Whitaker";"7486 Consectetuer Road";"874-5171";"68421943";"21"
"100000069";"Autumn Mcfadden";"765-4770 Mauris Avenue";"237-5096";"68421944";"2"
"100000070";"Otto Walker";"P.O. Box 615, 9901 Proin St.";"843-1006";"68421945";"32"
"100000071";"Illana Duke";"349-2412 Sed, Rd.";"373-1072";"68421946";"13"
"100000072";"Anne Larsen";"447-7398 Sem, St.";"796-5920";"68421947";"23"
"100000073";"Burke Bradshaw";"5717 Nam St.";"357-1988";"68421948";"24"
"100000074";"Cameron Clay";"1667 Urna. Avenue";"463-3346";"68421949";"21"
"100000075";"Myles Lott";"Ap #299-3208 Taciti Ave";"782-5751";"68421950";"21"
"100000076";"Duncan Huber";"389 Libero. Road";"935-1029";"68421951";"35"
"100000077";"Dylan Brown";"746-9985 Lacus. Street";"538-5767";"68421952";"20"
"100000078";"Amal Velasquez";"513-2360 Quis Rd.";"407-6084";"68421953";"23"
"100000079";"Kyla Ray";"Ap #368-6233 Tellus St.";"942-6027";"68421954";"26"
"100000080";"Gay Beard";"P.O. Box 804, 2864 Natoque Rd.";"308-6101";"68421955";"25"
"100000081";"Xerxes Browning";"736-1523 Et Rd.";"786-5441";"68421956";"10"
"100000082";"Asher Stanley";"P.O. Box 694, 6194 Fringilla A";"695-9415";"68421957";"31"
"100000083";"Neve Harrison";"673-5937 Id Avenue";"548-0900";"68421958";"30"
"100000084";"Craig Tran";"978-3036 Semper Rd.";"728-7989";"68421959";"24"
"100000085";"Reuben Burgess";"938 Enim Rd.";"952-1926";"68421960";"22"
"100000086";"Brianna Abbott";"P.O. Box 225, 3145 Suscipit St";"252-6313";"68421961";"2"
"100000087";"Clio Stanton";"7714 Et Rd.";"622-6400";"68421962";"4"
"100000088";"George Morales";"952-6477 Habitant St.";"175-9048";"68421963";"25"
"100000089";"Meghan Stafford";"Ap #856-1275 Nunc, Rd.";"676-7976";"68421964";"20"
"100000090";"Preston Clemons";"578-2058 Non, Avenue";"019-7007";"68421965";"34"
"100000091";"Porter Fowler";"4397 Sit St.";"816-0910";"68421966";"30"
"100000092";"Judith Newton";"P.O. Box 877, 1385 Fermentum R";"280-5749";"68421967";"25"
"100000093";"Linda Hogan";"P.O. Box 172, 6371 Dui St.";"853-7325";"68421968";"12"
"100000094";"Jane Adams";"Ap #658-2243 Magna Av.";"611-2089";"68421969";"26"
"100000095";"Jane Daniels";"Ap #702-9417 Amet, Rd.";"822-2670";"68421970";"6"
"100000096";"Gisela Middleton";"975-5195 Accumsan Road";"221-0312";"68421971";"28"
"100000097";"Leilani Cortez";"4868 Elit Rd.";"918-2847";"68421972";"24"
"100000098";"Indira Hickman";"P.O. Box 973, 5876 Elit Ave";"856-1389";"68421973";"9"
"100000099";"Hedley Gutierrez";"532-2364 Sit Avenue";"517-0875";"68421974";"14"
"100000100";"Jacob Flores";"5765 Imperdiet Rd.";"050-1252";"68421975";"28"
"100000101";"Troy Joseph";"Ap #987-3561 Amet Street";"542-7519";"68421976";"29"
"100000102";"Murphy Watts";"725-6461 Ridiculus Av.";"723-3569";"68421977";"3"
"100000103";"Clinton Foreman";"6318 Arcu. Rd.";"267-8604";"68421978";"33"
"100000104";"Jillian Wood";"P.O. Box 922, 1851 Non Avenue";"007-2188";"68421979";"21"
